1er Août;46.5367366879;6.58201906962
1er Mai;46.5407686803;6.58344370604
Abeilles;46.5411232548;6.64799239616
Allières;46.5239644416;6.64751300826
Alpes;46.5151180448;6.63677432923
Ancienne Poste;46.539912581;6.72473230632
Arc-en-Ciel;46.5452987175;6.5680911531
Aubépines;46.5273939732;6.61921826928
Avenir;46.5383398663;6.58346251012
Avenue William;46.509377135;6.68183749761
Avenue du Léman;46.51572708;6.64536588257
Balances;46.5756608582;6.73602769714
Ballègue;46.5548167474;6.66987004083
Barre;46.5257508367;6.63605647013
Bassenges;46.5250866019;6.56486438203
Batelière;46.5164251144;6.61264045114
Baumettes;46.5434673025;6.5906240951
Beau-Rivage;46.5083146491;6.62756551491
Beau-Site;46.5351543801;6.6206455937
Beaulieu;46.5280924839;6.6237826947
Beaulieu-Jomini;46.5274778057;6.62619997915
Beauregard;46.5126105903;6.62320766908
Bel-Air;46.52236132;6.62904292724
Bellerive;46.5116720031;6.61716925381
Bellevaux;46.539195475;6.63389385239
Belmont;46.5194985183;6.67859447289
Belvédère;46.5209066634;6.61719211745
Benj. Constant;46.5192386932;6.6374757049
Berges;46.5275053514;6.57530479256
Bergières;46.5306200225;6.61872627191
Bessières;46.5209979443;6.63712387324
Biolleyre;46.5524770344;6.6684297479
Blessoney;46.5192217853;6.68409349297
Blécherette;46.5423184235;6.62108494382
Blévallaire;46.5205611363;6.57186413159
Bochet;46.5133320111;6.55947030649
Bois Murat;46.5451301103;6.65436172925
Bois de Vaux;46.519341102;6.5999092406
Bois-Genoud;46.5463021209;6.58415165507
Bois-Gentil;46.5386067645;6.62222954743
Boissonnet;46.5388897536;6.64634326902
Boisy;46.533275233;6.61953990226
Bonne-Espérance;46.5151739635;6.64969593507
Borjod;46.5395752964;6.58865779866
Bossons;46.5392183705;6.61721417423
Boston;46.5239107599;6.62273127059
Bottens;46.6168196567;6.6596342443
Bourdonnette;46.5232605764;6.59003031805
Bourdonnière;46.5065587027;6.64710267495
Bourg-Dessus;46.5381892986;6.59492085125
Bourg-Pilettes;46.5523387807;6.75521203172
Boverattes;46.516299175;6.66573190824
Boveresses;46.5353601571;6.6635110065
Bressonnaz;46.6517874046;6.78885417475
Bretigny-sur-Morrens;46.5980555096;6.64681435279
Broye;46.5355247742;6.59803560493
Bruyère;46.5240217228;6.66300857093
Bré;46.5506663008;6.57891906004
Brélaz;46.5131552405;6.69750598026
Brûlées;46.5144810497;6.69047076794
Budron;46.5754717292;6.63346003369
Bugnon;46.5397568521;6.59613168473
Burenoz;46.5212077629;6.67256254557
Buyère;46.5499556176;6.56358282592
Béthanie;46.5344727912;6.61346669124
Béthusy;46.5218575424;6.64660543212
C.-F. Ramuz;46.5095567526;6.64808821886
CHUV;46.5265054644;6.64144995437
Carrouge;46.606483777;6.77628039162
Casard;46.552689899;6.77732974238
Casernes;46.5317814235;6.62805482842
Caudoz;46.5117984063;6.6673141324
Cavenette;46.580170133;6.63571895135
Censuy;46.532320953;6.58399423726
Centre Sportif Rochettaz;46.5117704645;6.66982935267
Cerisaie;46.5279027644;6.5666698077
Chaffeises;46.5139827923;6.67372671168
Chailly-Village;46.5232350555;6.65520658715
Chalet Coucou;46.6036600269;6.65005412012
Chalet à Matthey;46.5509834531;6.69132243837
Chalet-Fontaine;46.5677931582;6.69969259131
Chalet-à-Gobet;46.5648490966;6.69229963483
Champ Rond;46.53191335;6.65023201284
Champs-Courbes;46.5164899686;6.55025139628
Chandolin;46.5174351516;6.64455245977
Chantres;46.5105056301;6.55347022685
Charmeur (EVAM);46.5580595726;6.57042248962
Chauderon;46.5236821987;6.62556941175
Chauderon-Ale;46.5238262295;6.62726155981
Chavannes-Plaine;46.5287697398;6.57240403167
Chemin Rochettaz;46.5447421767;6.7613053817
Chemin du Cap;46.5146790064;6.64923837607
Chenaulaz;46.5271500858;6.67262838514
Cheseaux-Gare;46.584200872;6.60512752926
Chevreuils;46.5586382204;6.69669415083
Chisaz;46.5503764638;6.57687644443
Chocolatière;46.5362837837;6.64096489382
Châtaignier;46.5066169186;6.65355115929
Châtelard;46.5781193531;6.59230540888
Chêne;46.5290558608;6.59006768385
Ciblerie;46.5049642729;6.68857624058
Cigale;46.5433396599;6.64718428174
Claie-Moines;46.5406927239;6.70385621009
Clair-Matin;46.5502467808;6.74695196158
Clochatte;46.5427615576;6.63849008816
Clos l'Auberge;46.5685508949;6.78245993242
Closalet;46.5535545857;6.56951671329
Closelet;46.5150191994;6.63233874015
Closy;46.6282345042;6.78305220636
Cocagne;46.5547013902;6.5618695038
Colline;46.5108472424;6.67902855834
Collège de Marcolet;46.5447615701;6.57492532592
Concorde;46.5323290133;6.57434801171
Conversion-Gare;46.5128837485;6.6781921186
Coppoz;46.5598839429;6.63570686708
Coppoz-Poste;46.5571162413;6.6355066605
Corcelles-Jorat;46.5908564246;6.74506258893
Corsy-Dessous;46.513589391;6.68013028659
Corsy-Dessus;46.5149077906;6.68629498939
Cottages;46.5213810595;6.6100430743
Couchirard;46.5250956367;6.61302304618
Coudraie;46.5402300031;6.60971552666
Coudrette;46.5224657916;6.65846286956
Cour;46.5126701037;6.62586498739
Craivavers;46.5313633159;6.65918196465
Crissier-Centre;46.5525405038;6.57773087992
Crochy;46.5328230502;6.57011666034
Croisettes;46.5430638436;6.66154501903
Croix Blanche;46.5476765191;6.67092326032
Croix d'Or;46.5986512639;6.76451299157
Croix d'Ouchy;46.5127863086;6.6301763385
Croix-Péage;46.5613733026;6.56573932671
Croix-de-Plan;46.5479459792;6.56371310058
